sample_barcode	journal	lib_id	library_plate	sample_seq_id	seq_id	R1	R2
PaPr00000265MP	MP049	LIB-MP049-E5	LIB00012	LIB00012-MP049-E5_1	LIB00012-MP049-E5	-	-
RASK00000102MP	MP049	LIB-MP049-E6	LIB00012	LIB00012-MP049-E6_1	LIB00012-MP049-E6	-	-
UCPr00000006MP	MP049	LIB-MP049-F1	LIB00012	LIB00012-MP049-F1_1	LIB00012-MP049-F1	-	-
UCPr00000014MP	MP049	LIB-MP049-F2	LIB00012	LIB00012-MP049-F2_1	LIB00012-MP049-F2	-	-
LIB-MP049-F3	MP049	LIB-MP049-F3	LIB00012	LIB00012-MP049-F3_1	LIB00012-MP049-F3	-	-
UCPr00000028MP	MP049	LIB-MP049-F4	LIB00012	LIB00012-MP049-F4_1	LIB00012-MP049-F4	-	-
PaPr00000266MP	MP049	LIB-MP049-F5	LIB00012	LIB00012-MP049-F5_1	LIB00012-MP049-F5	-	-
UCPr00000007MP	MP049	LIB-MP049-G1	LIB00012	LIB00012-MP049-G1_1	LIB00012-MP049-G1	-	-
UCPr00000015MP	MP049	LIB-MP049-G2	LIB00012	LIB00012-MP049-G2_1	LIB00012-MP049-G2	-	-
UCPr00000021MP	MP049	LIB-MP049-G3	LIB00012	LIB00012-MP049-G3_1	LIB00012-MP049-G3	-	-
UCPr00000029MP	MP049	LIB-MP049-G4	LIB00012	LIB00012-MP049-G4_1	LIB00012-MP049-G4	-	-
PaPr00000267MP	MP049	LIB-MP049-G5	LIB00012	LIB00012-MP049-G5_1	LIB00012-MP049-G5	-	-
UCPr00000008MP	MP049	LIB-MP049-H1	LIB00012	LIB00012-MP049-H1_1	LIB00012-MP049-H1	-	-
UCPr00000016MP	MP049	LIB-MP049-H2	LIB00012	LIB00012-MP049-H2_1	LIB00012-MP049-H2	-	-
UCPr00000022MP	MP049	LIB-MP049-H3	LIB00012	LIB00012-MP049-H3_1	LIB00012-MP049-H3	-	-
UCPr00000030MP	MP049	LIB-MP049-H4	LIB00012	LIB00012-MP049-H4_1	LIB00012-MP049-H4	-	-
PaPr00000268MP	MP049	LIB-MP049-H5	LIB00012	LIB00012-MP049-H5_1	LIB00012-MP049-H5	-	-
LIB-MP007-E12	MP007	LIB-MP007-E12	LIB00001	LIB00001-MP007-E12_1	LIB00001-MP001-E12	-	-
LIB-MP008-E12	MP008	LIB-MP008-E12	LIB00002	LIB00002-MP008-E12_1	LIB00002-MP002-E12	-	-
LIB-MP009-E12	MP009	LIB-MP009-E12	LIB00003	LIB00003-MP009-E12_1	LIB00003-MP003-E12	-	-
LIB-MP011-E12	MP011	LIB-MP011-E12	LIB00005	LIB00005-MP011-E12_1	LIB00005-MP005-E12	-	-
LIB-MP012-E12	MP012	LIB-MP012-E12	LIB00006	LIB00006-MP012-E12_1	LIB00006-MP006-E12	-	-
LIB-MP022-E12	MP022	LIB-MP022-E12	LIB00009	LIB00009-MP022-E12_1	LIB00009-MP022-MJ363_E12	-	-
LIB-MP023-E12	MP023	LIB-MP023-E12	LIB00010	LIB00010-MP023-E12_1	LIB00010-MP023-MJ363_E12	-	-
LIB-MP024-H8	MP024	LIB-MP024-H8	LIB00011	LIB00011-MP024-H8_1	LIB00011-MP024-MJ363_H8	-	-
LIB-MP049-E12	MP049	LIB-MP049-E12	LIB00012	LIB00012-MP049-E12_1	LIB00012-MP049-E12	-	-
LIB-MP007-F12	MP007	LIB-MP007-F12	LIB00001	LIB00001-MP007-F12_1	LIB00001-MP001-F12	-	-
LIB-MP008-F12	MP008	LIB-MP008-F12	LIB00002	LIB00002-MP008-F12_1	LIB00002-MP002-F12	-	-
LIB-MP009-F12	MP009	LIB-MP009-F12	LIB00003	LIB00003-MP009-F12_1	LIB00003-MP003-F12	-	-
LIB-MP010-F12	MP010	LIB-MP010-F12	LIB00004	LIB00004-MP010-F12_1	LIB00004-MP004-F12	-	-
LIB-MP011-F12	MP011	LIB-MP011-F12	LIB00005	LIB00005-MP011-F12_1	LIB00005-MP005-F12	-	-
LIB-MP012-F12	MP012	LIB-MP012-F12	LIB00006	LIB00006-MP012-F12_1	LIB00006-MP006-F12	-	-
LIB-MP022-F12	MP022	LIB-MP022-F12	LIB00009	LIB00009-MP022-F12_1	LIB00009-MP022-MJ363_F12	-	-
LIB-MP023-F12	MP023	LIB-MP023-F12	LIB00010	LIB00010-MP023-F12_1	LIB00010-MP023-MJ363_F12	-	-
LIB-MP024-A9	MP024	LIB-MP024-A9	LIB00011	LIB00011-MP024-A9_1	LIB00011-MP024-MJ363_A9	-	-
LIB-MP049-F12	MP049	LIB-MP049-F12	LIB00012	LIB00012-MP049-F12_1	LIB00012-MP049-F12	-	-
LIB-MP013-C3	MP013	LIB-MP013-C3	LIB00007	LIB00007-MP013-C3_1	LIB00007-MP014-C3	-	-
LIB-MP013-F3	MP013	LIB-MP013-F3	LIB00007	LIB00007-MP013-F3_1	LIB00007-MP014-F3	-	-
LIB-MP013-E12	MP013	LIB-MP013-E12	LIB00007	LIB00007-MP013-E12_1	LIB00007-MP014-E12	-	-
LIB-MP013-F12	MP013	LIB-MP013-F12	LIB00007	LIB00007-MP013-F12_1	LIB00007-MP014-F12	-	-
LIB-MP014-C3	MP014	LIB-MP014-C3	LIB00008	LIB00008-MP014-C3_1	LIB00008-MP014-C3	-	-
LIB-MP014-F3	MP014	LIB-MP014-F3	LIB00008	LIB00008-MP014-F3_1	LIB00008-MP014-F3	-	-
LIB-MP014-E12	MP014	LIB-MP014-E12	LIB00008	LIB00008-MP014-E12_1	LIB00008-MP014-E12	-	-
LIB-MP014-F12	MP014	LIB-MP014-F12	LIB00008	LIB00008-MP014-F12_1	LIB00008-MP014-F12	-	-
